1508514037496468224,-0.00327,-0.00973,0.00870,0.99942,0.02436,0.02087,0.01103,-0.00460,-0.00082,-0.03532,
1508514037521983232,-0.00337,-0.00985,0.00769,0.99932,0.03068,0.01710,0.01156,-0.00412,-0.00816,-0.04997,
1508514037547760896,-0.00395,-0.01102,0.01056,0.99913,0.03767,0.01376,0.01179,-0.00528,-0.02351,-0.01392,
1508514037586436864,-0.00403,-0.01198,0.00920,0.99870,0.04892,0.00877,0.01120,0.00139,-0.01952,-0.06012,
1508514037624890112,-0.00441,-0.01323,0.01120,0.99851,0.05292,0.00523,0.01186,0.00471,-0.01427,-0.12491,
1508514037663336448,-0.00442,-0.01273,0.01075,0.99842,0.05414,0.00929,0.01177,0.00795,0.00697,-0.19807,
1508514037689262592,-0.00421,-0.01217,0.00424,0.99847,0.05177,0.01487,0.01285,0.00678,0.03312,-0.26867,
1508514037714830848,-0.00406,-0.01117,-0.00292,0.99847,0.04877,0.02149,0.01450,0.00673,0.04862,-0.32579,
1508514037753313536,-0.00438,-0.00779,-0.00804,0.99819,0.04452,0.03676,0.01659,0.00170,0.06492,-0.36048,
1508514037791873280,-0.00445,-0.00538,-0.02098,0.99761,0.04119,0.05246,0.01808,-0.00303,0.06776,-0.34564,
1508514037830512640,-0.00452,-0.00254,-0.03315,0.99707,0.03497,0.06481,0.02067,0.00047,0.07130,-0.25809,
1508514037856122368,-0.00448,-0.00066,-0.03944,0.99685,0.03143,0.06920,0.02257,0.00276,0.06524,-0.20397,
1508514037881832448,-0.00437,0.00083,-0.04385,0.99665,0.02983,0.07216,0.02436,0.00612,0.05868,-0.16500,
1508514037920335616,-0.00403,0.00305,-0.04946,0.99651,0.02328,0.07495,0.02841,0.00862,0.05769,-0.12628,
1508514037958676224,-0.00444,0.00562,-0.04831,0.99630,0.01728,0.07742,0.03297,0.01327,0.04584,-0.11858,
1508514037997371136,-0.00424,0.00771,-0.04795,0.99582,0.01889,0.08256,0.03425,0.04269,0.02987,-0.07725,
1508514038023067648,-0.00281,0.00847,-0.04919,0.99566,0.01812,0.08426,0.03517,0.07601,0.03457,-0.02596,
1508514038048757504,-0.00148,0.01060,-0.04495,0.99564,0.01427,0.08404,0.03780,0.10419,0.03651,0.03410,
1508514038087269632,0.00066,0.01283,-0.03838,0.99536,0.02411,0.08470,0.03873,0.12665,0.01862,0.12395,
1508514038125931520,0.00385,0.01437,-0.02783,0.99564,0.03371,0.07749,0.03941,0.15231,-0.02063,0.23122,
1508514038164261888,0.00651,0.01567,-0.01598,0.99618,0.03685,0.06820,0.04016,0.15994,-0.05610,0.24758,
